Date Admission,Number of admissions,14 days accumulated incidence in Catalonia,(*) Source: https://dadescovid.cat/setmanal
2/24/20,7,no data available,"       Data extraction: August 16, 2021"
2/25/20,2,no data available,
2/26/20,5,no data available,
2/27/20,8,no data available,
2/28/20,3,no data available,
2/29/20,5,no data available,
3/1/20,7,0.06,
3/2/20,10,0.13,
3/3/20,6,0.24,
3/4/20,12,0.33,
3/5/20,9,0.58,
3/6/20,4,0.75,
3/7/20,8,0.91,
3/8/20,11,1,
3/9/20,12,2.22,
3/10/20,27,4.37,
3/11/20,26,7.07,
3/12/20,45,11.76,
3/13/20,37,19.02,
3/14/20,42,23.62,
3/15/20,42,29.84,
3/16/20,79,46.91,
3/17/20,108,61.55,
3/18/20,129,79.32,
3/19/20,141,98.02,
3/20/20,144,119.11,
3/21/20,155,132.65,
3/22/20,133,145.04,
3/23/20,142,174.05,
3/24/20,171,197.02,
3/25/20,198,217.89,
3/26/20,212,236.89,
3/27/20,241,251.02,
3/28/20,215,261.22,
3/29/20,179,268.02,
3/30/20,176,276.35,
3/31/20,174,280.73,
4/1/20,126,281.26,
4/2/20,115,279.81,
4/3/20,117,276.64,
4/4/20,90,272.64,
4/5/20,88,267.51,
4/6/20,125,255.92,
4/7/20,106,246.26,
4/8/20,90,239.49,
4/9/20,109,233.09,
4/10/20,66,225.86,
4/11/20,61,221.4,
4/12/20,47,215.1,
4/13/20,43,199.69,
4/14/20,52,195.8,
4/15/20,54,193.66,
4/16/20,67,191.01,
4/17/20,48,192.35,
4/18/20,34,191.19,
4/19/20,22,189.18,
4/20/20,38,181.67,
4/21/20,26,177.64,
4/22/20,32,172.11,
4/23/20,18,163.52,
4/24/20,30,157.77,
4/25/20,9,151.51,
4/26/20,11,147.85,
4/27/20,28,142.28,
4/28/20,15,132.78,
4/29/20,13,122.57,
4/30/20,17,111.93,
5/1/20,14,95.31,
5/2/20,11,88.82,
5/3/20,11,84.49,
5/4/20,11,76.39,
5/5/20,6,67.92,
5/6/20,11,59.8,
5/7/20,10,53.19,
5/8/20,6,47.49,
5/9/20,10,45.35,
5/10/20,7,43.39,
5/11/20,6,41.67,
5/12/20,8,38.86,
5/13/20,9,35.61,
5/14/20,8,33.99,
5/15/20,8,33.89,
5/16/20,3,33.35,
5/17/20,3,33.09,
5/18/20,9,32.96,
5/19/20,5,33.21,
5/20/20,4,32.94,
5/21/20,8,34.35,
5/22/20,8,35.15,
5/23/20,1,34.53,
5/24/20,2,35.07,
5/25/20,6,35.24,
5/26/20,3,34.82,
5/27/20,6,34.15,
5/28/20,4,33.8,
5/29/20,6,33.71,
5/30/20,1,33.59,
5/31/20,5,33.47,
6/1/20,3,31.56,
6/2/20,5,29.92,
6/3/20,4,28.63,
6/4/20,5,26.95,
6/5/20,3,25.79,
6/6/20,2,25.19,
6/7/20,0,24.07,
6/8/20,1,22.62,
6/9/20,3,21.33,
6/10/20,3,20.78,
6/11/20,1,19.47,
6/12/20,2,18.31,
6/13/20,0,17.34,
6/14/20,3,17.04,
6/15/20,0,17.22,
6/16/20,3,16.81,
6/17/20,2,16.13,
6/18/20,3,15.65,
6/19/20,0,14.48,
6/20/20,3,14.29,
6/21/20,0,14.25,
6/22/20,1,14.03,
6/23/20,3,14.41,
6/24/20,2,13.46,
6/25/20,5,14.45,
6/26/20,3,15.34,
6/27/20,4,15.69,
6/28/20,2,16.18,
6/29/20,3,17.38,
6/30/20,1,18.56,
7/1/20,2,20.9,
7/2/20,2,22.41,
7/3/20,1,24.68,
7/4/20,1,25.95,
7/5/20,4,27.03,
7/6/20,2,30.37,
7/7/20,1,34.33,
7/8/20,5,40.21,
7/9/20,3,45.1,
7/10/20,7,50.47,
7/11/20,5,53.41,
7/12/20,6,55.62,
7/13/20,5,63.26,
7/14/20,5,70.83,
7/15/20,5,79.51,
7/16/20,13,89.68,
7/17/20,9,99.18,
7/18/20,6,105.1,
7/19/20,11,108.35,
7/20/20,11,119.91,
7/21/20,16,129.7,
7/22/20,11,137.77,
7/23/20,16,145.97,
7/24/20,11,152.51,
7/25/20,17,155.09,
7/26/20,14,156.69,
7/27/20,13,162.77,
7/28/20,12,168.38,
7/29/20,9,171.51,
7/30/20,13,172.89,
7/31/20,8,174.94,
8/1/20,13,173.29,
8/2/20,11,172.76,
8/3/20,20,171.34,
8/4/20,9,169.9,
8/5/20,14,168.73,
8/6/20,14,167.14,
8/7/20,16,167.96,
8/8/20,36,168.4,
8/9/20,15,168.72,
8/10/20,15,168.25,
8/11/20,13,167.19,
8/12/20,13,166.06,
8/13/20,13,166.43,
8/14/20,18,166.97,
8/15/20,17,167.42,
8/16/20,21,168.74,
8/17/20,14,170.17,
8/18/20,11,172.28,
8/19/20,21,175.63,
8/20/20,13,179.02,
8/21/20,12,181.86,
8/22/20,13,182.65,
8/23/20,12,183.75,
8/24/20,15,187.67,
8/25/20,16,190.54,
8/26/20,17,194.93,
8/27/20,16,196.77,
8/28/20,20,198.2,
8/29/20,9,198.98,
8/30/20,7,199.79,
8/31/20,9,200.86,
9/1/20,9,200.04,
9/2/20,7,198.61,
9/3/20,9,197.79,
9/4/20,18,197.17,
9/5/20,12,196.77,
9/6/20,9,195.73,
9/7/20,15,193.22,
9/8/20,11,190.96,
9/9/20,15,187.74,
9/10/20,13,187.84,
9/11/20,13,177.83,
9/12/20,13,179.04,
9/13/20,9,178.66,
9/14/20,13,179.69,
9/15/20,10,182.63,
9/16/20,11,185.22,
9/17/20,11,186.23,
9/18/20,14,186.48,
9/19/20,12,186.37,
9/20/20,19,187.85,
9/21/20,17,190.54,
9/22/20,10,191.57,
9/23/20,13,192.9,
9/24/20,6,188.21,
9/25/20,9,197.5,
9/26/20,3,196.33,
9/27/20,7,195.73,
9/28/20,11,197.98,
9/29/20,18,198.98,
9/30/20,15,199.77,
10/1/20,15,203.04,
10/2/20,14,208.97,
10/3/20,17,211.04,
10/4/20,13,212.23,
10/5/20,11,220.52,
10/6/20,22,231.41,
10/7/20,24,243.74,
10/8/20,29,264.38,
10/9/20,33,285.96,
10/10/20,30,294.5,
10/11/20,29,304.04,
10/12/20,19,300.83,
10/13/20,42,329.76,
10/14/20,19,360,
10/15/20,31,387.98,
10/16/20,29,417.79,
10/17/20,25,433.27,
10/18/20,23,447.53,
10/19/20,45,492.13,
10/20/20,49,539.56,
10/21/20,49,588.58,
10/22/20,50,631.99,
10/23/20,53,668.39,
10/24/20,34,685.28,
10/25/20,47,696.07,
10/26/20,49,762.59,
10/27/20,62,790.09,
10/28/20,39,811.09,
10/29/20,52,822.91,
10/30/20,53,833.97,
10/31/20,49,840.27,
11/1/20,39,839.52,
11/2/20,49,843.16,
11/3/20,39,834.14,
11/4/20,37,810.93,
11/5/20,42,786.32,
11/6/20,53,760.34,
11/7/20,23,748.83,
11/8/20,22,735.08,
11/9/20,33,702.38,
11/10/20,40,670.39,
11/11/20,52,636.9,
11/12/20,32,609.75,
11/13/20,33,576.71,
11/14/20,27,559.15,
11/15/20,19,546.04,
11/16/20,27,505.02,
11/17/20,23,470.04,
11/18/20,34,440.72,
11/19/20,23,410.39,
11/20/20,24,382.75,
11/21/20,11,369.94,
11/22/20,14,363.64,
11/23/20,22,335.6,
11/24/20,27,313.22,
11/25/20,20,295.31,
11/26/20,18,280.96,
11/27/20,19,268.86,
11/28/20,13,264.14,
11/29/20,11,262.03,
11/30/20,15,248.38,
12/1/20,17,237.58,
12/2/20,18,230.16,
12/3/20,20,225.83,
12/4/20,20,221.02,
12/5/20,15,219.24,
12/6/20,11,218.38,
12/7/20,14,215.9,
12/8/20,17,201.22,
12/9/20,21,209.1,
12/10/20,15,214.31,
12/11/20,16,219.26,
12/12/20,14,221.72,
12/13/20,17,224.93,
12/14/20,20,236.5,
12/15/20,10,247.19,
12/16/20,16,257.7,
12/17/20,14,268.39,
12/18/20,23,281.98,
12/19/20,18,289.82,
12/20/20,18,295.69,
12/21/20,24,313.94,
12/22/20,17,343.64,
12/23/20,27,352.69,
12/24/20,26,359.42,
12/25/20,22,346.75,
12/26/20,20,350.02,
12/27/20,28,355.49,
12/28/20,35,374.78,
12/29/20,38,395.97,
12/30/20,36,416.64,
12/31/20,29,433.19,
1/1/21,28,418.67,
1/2/21,32,426.29,
1/3/21,28,434.59,
1/4/21,40,458.37,
1/5/21,33,483.3,
1/6/21,34,467.33,
1/7/21,35,499.04,
1/8/21,28,549.18,
1/9/21,24,562.05,
1/10/21,27,571.17,
1/11/21,51,596.92,
1/12/21,38,611.98,
1/13/21,38,620.39,
1/14/21,33,628.07,
1/15/21,50,665.47,
1/16/21,33,669.88,
1/17/21,25,670.39,
1/18/21,56,675.57,
1/19/21,42,674.04,
1/20/21,28,707.27,
1/21/21,48,694.27,
1/22/21,34,679.74,
1/23/21,28,674.24,
1/24/21,19,666.22,
1/25/21,43,647.63,
1/26/21,49,628.7,
1/27/21,50,616.01,
1/28/21,54,607.27,
1/29/21,58,595.14,
1/30/21,17,586.46,
1/31/21,27,578.56,
2/1/21,22,556.27,
2/2/21,42,534.45,
2/3/21,36,514.79,
2/4/21,30,496.58,
2/5/21,31,477.89,
2/6/21,28,467.04,
2/7/21,18,459.32,
2/8/21,23,433.08,
2/9/21,24,413.19,
2/10/21,26,391.2,
2/11/21,34,370.96,
2/12/21,27,353.38,
2/13/21,29,345.83,
2/14/21,12,340.89,
2/15/21,20,323.25,
2/16/21,21,311.76,
2/17/21,26,301.91,
2/18/21,17,294.03,
2/19/21,19,285.92,
2/20/21,21,284.79,
2/21/21,15,283.52,
2/22/21,23,276.39,
2/23/21,25,270.22,
2/24/21,19,268.06,
2/25/21,17,264,
2/26/21,25,259.73,
2/27/21,15,257.65,
2/28/21,23,257.21,
3/1/21,21,252.34,
3/2/21,20,244.44,
3/3/21,19,238.58,
3/4/21,13,230.92,
3/5/21,22,226.61,
3/6/21,9,224.42,
3/7/21,12,223.88,
3/8/21,21,216.59,
3/9/21,18,211.37,
3/10/21,24,206.98,
3/11/21,22,203.58,
3/12/21,23,201.68,
3/13/21,5,200.7,
3/14/21,12,199.93,
3/15/21,13,198.85,
3/16/21,22,198.61,
3/17/21,11,198.73,
3/18/21,8,201.14,
3/19/21,20,202.03,
3/20/21,16,202.38,
3/21/21,16,203.51,
3/22/21,24,208.06,
3/23/21,18,214.2,
3/24/21,20,220.39,
3/25/21,18,226.1,
3/26/21,22,231.5,
3/27/21,11,235.06,
3/28/21,5,237.95,
3/29/21,19,242.94,
3/30/21,26,247.82,
3/31/21,26,252.77,
4/1/21,21,255.47,
4/2/21,26,247.6,
4/3/21,25,251.91,
4/4/21,29,255.5,
4/5/21,21,243.59,
4/6/21,29,254.13,
4/7/21,19,258.47,
4/8/21,23,263.82,
4/9/21,20,266.93,
4/10/21,19,266.8,
4/11/21,18,267.2,
4/12/21,18,269.94,
4/13/21,30,270.96,
4/14/21,21,272.91,
4/15/21,20,275.01,
4/16/21,21,289.43,
4/17/21,13,287.89,
4/18/21,10,285.8,
4/19/21,25,300.86,
4/20/21,32,295.05,
4/21/21,11,292.48,
4/22/21,20,288.55,
4/23/21,23,286.9,
4/24/21,14,288.2,
4/25/21,13,289.12,
4/26/21,29,287.04,
4/27/21,16,287.75,
4/28/21,20,285.81,
4/29/21,16,284.15,
4/30/21,20,281.16,
5/1/21,13,278.55,
5/2/21,15,277.49,
5/3/21,16,272.76,
5/4/21,12,265.19,
5/5/21,9,257.95,
5/6/21,11,251.04,
5/7/21,13,242.76,
5/8/21,14,237.27,
5/9/21,7,232.55,
5/10/21,13,219.66,
5/11/21,11,207.04,
5/12/21,9,196.01,
5/13/21,9,184.47,
5/14/21,12,173.38,
5/15/21,9,169.8,
5/16/21,4,165.97,
5/17/21,11,156.12,
5/18/21,8,146.89,